Img_no,IMG_ID,SHP_ID,EXT_ID,FNF_ID,CLD_Shadow_B3,CLD_trhd_B2,No_Bands,Seed,CATID,Study area,DCA,Insect,Notes,Cld_img,Code,Classes,Agent,TIME,SUNAZ,SUNEL,SATAZ,SATEL,INTAN,CRTAN,OFFNA,CRTAN,OFFNA,CLCOV,Bands,Sat,varsel_treshold,cor_treshold
1,GE01_20181125_M1BS_105001001346F700-toa,GE01_20181125_M1BS_105001001346F700-toa_eval2.shp,GE01_20181125_M1BS_105001001346F700-toa_ext_utm.shp,,250,2300,6,10,105001001346F700,"Arizona, Spruce Aphid",DF,Spruce Aphid,S3 Lots of overestimation!,NA,AZ1,5,MX,2018-11-25T18:01:19,162.0166667,32.975,109.9916667,65.75,-4.475,19.09166667,21.70833333,19.09166667,21.70833333,0.00E+00,4,1,0.25,0.9
2,WV02_20190730_M1BS_10300100994D8300-toa,WV02_20190730_M1BS_10300100994D8300-toa_eval3.shp,CA1_ext.shp,,550,1500,6,10,10300100994D8300,California,BB,Fir Engraver (good timing),30 on bg and hb,NA,CA1,6,BB,2019-07-30T18:47:34,133.75,63.8,67.82,63.98,11.74,20.01,23.11,20.01,23.11,0.00E+00,8,2,0.25,0.9
3,WV02_20150626_M1BS_1030010044251900-toa,WV02_20150626_M1BS_1030010044251900_eval2.shp,WV02_20150626_M1BS_1030010044251900_ext.shp,,25,3000,6,10,1.03E+15,"CO GMUC EAST, Spruce Beetle",BB,Spruce beetle,S3 changed to 5 class (should be 50 points/class <> old: ADD MORE POINTS!!<> OK but overestimation RT change classes,WV02_20150626_M1BS_1030010044251900-toa.cloud.tif,CO1,6,BB,2015-06-26T18:15:26,136.2,71.1,236.1,72.8,-10.7,-10.8,15.2,-10.8,15.2,2.90E-02,8,2,0.25,0.9
4,WV02_20150626_M1BS_1030010046382600-toa,class_utmz12_co_p100.shp,clip_wv2_co_error_utm.shp,,25,1050,6,10,1.03E+15,"CO GMUC WEST,  Spruce Beetle",BB,Spruce beetle,"S3 is good! (one patch of red should be bg-otherwise great!)<> Old: Low accuracy, shadow too strict (from 90 to 25), too many points..50/class",WV02_20150626_M1BS_1030010046382600-toa.cloud.tif,CO2,5,BB,2015-06-26T18:15:16,136.55,71.2,249.4,74.6,-7.05,-11.65,13.65,-11.65,13.65,3.20E-02,8,2,0.25,0.9
5,WV02_20200525_M1BS_10300100A702C500-toa,WV02_20200525_M1BS_10300100A702C500_eval1.shp,UT3_ext.shp,,400,1500,6,10,10300100A702C500,"UT/CO, pinyon ips and juniper mort",MX,Pinyon ips and juniper drought mort,Might be hard to evaluate,NA,CO3,5,MX,2020-05-25T17:59:22,132.12,66.69,103.95,73.16,-0.97,14.87,14.93,14.87,14.93,0.00E+00,8,2,0.25,0.9
6,WV03_20210701_M1BS_104001006AD3E600-toa,WV03_20210701_M1BS_104001006AD3E600_eval_p50_5class.shp,,,550,1500,6,10,104001006AD3E600,Avery classification,DF,Hemlock looper-Douglas Fir Tossock Moth,S3 overestimation red trees <> moved to 5 classes? CHANGED shadow/CLD tresholds,NA,ID1,6,MX,2021-07-01T18:31:28,141.15,61.99,105.03,64.5,-2.22,22.97,23.07,22.97,23.07,0.00E+00,8,3,0.25,0.9
7,GE01_20190603_M1BS_10500100168D2400-toa,GE01_20190603_M1BS_10500100168D2400-toa_eval1.shp,GE01_20190603_M1BS_10500100168D2400-toa_ext_utm.shp,,440,2000,6,10,10500100168D2400,"Dowrshack, Needle Cast",MX/BB,"Fir Engraver, larch needle cast",S3 cloud shadow was a problem - to 440 - RT overestimation?,NA,ID2,5,DF,2019-06-03T18:39:26,146.6857143,62.8,118.2,71.32857143,-5.3,14.88571429,16.74285714,14.88571429,16.74285714,0.00E+00,4,1,0.25,0.9
8,WV03_20181015_M1BS_104001004421BA00-toa,WV03_20181015_M1BS_104001004421BA00-toa_eval1.shp,WV03_20181015_M1BS_104001004421BA00-toa_ext.shp,,250,1500,6,10,104001004421BA00,"Grandmother (Fir engraver, further south)",MX,"Douglas fir tussock moth, fir engraver",,WV03_20181015_M1BS_104001004421BA00-toa.cloud.tif,ID3,5,BB,2018-10-15T18:55:32,169.86,34.5,120.97,66.4,-7.59,19.97,21.31,19.97,21.31,0.00E+00,8,3,0.25,0.9
9,WV02_20180628_M1BS_103001007F3C0B00-toa,WV02_20180628_M1BS_103001007F3C0B00-toa_eval1.shp,WV02_20180628_M1BS_103001007F3C0B00-toa_ext.shp,,600,1400,6,10,103001007F3C0B00,Central ID (Gospel Hump wilderness)/MPB,BB,Mountain Pine Beetle,,WV02_20180628_M1BS_103001007F3C0B00-toa.cloud.tif,ID4,6,BB,2018-06-28T18:49:25,147.84,64.74,155.98,70.66,-13.76,9.9,16.94,9.9,16.94,2.26E-01,8,2,0.25,0.9
10,WV03_20200718_M1BS_10400100601E0900-toa,WV03_20200718_M1BS_10400100601E0900_eval1.shp,WV03_20200718_M1BS_10400100601E0900-toa_ext.shp,,500,2000,6,10,10400100601E0900,Thompson Falls,DF?,WSBW?,Deleted a lot of points ,WV03_20200718_M1BS_10400100601E0900-toa.cloud.tif,MT1,6,BB,2020-07-18T18:44:10,148.25,60.5,47.2,67.05,16.7,12.9,21,12.9,21,1.30E-02,8,3,0.25,0.9
11,WV02_20190813_M1BS_1030010098B02C00-toa,site2_mt_eval_utmz11_v2.shp,,WV02_20190813_M1BS_1030010098B02C00-toa_fnf_clip.tif,25,3000,6,10,1030010098B02C00,MT I90,DF?,WSBW?,"CFM Sum is weird, points ok, Visual assessment",WV02_20190813_M1BS_1030010098B02C00-toa.cloud.tif,MT2,5,DF,2019-08-13T18:29:15,149.05,54.45,61.2,58.6,16.8,22.45,27.8,22.45,27.8,0.00E+00,8,2,0.25,0.9
12,WV02_20190813_M1BS_10300100967EF200-toa,WV02_20190813_M1BS_10300100967EF200-toa.shp,,,10,3000,6,10,10300100967EF200,Near Missoula,DF,Western Spruce Budworm/Tussock Moth/Near Missoula,,WV02_20190813_M1BS_10300100967EF200-toa.cloud.tif,MT3,6,DF,2019-08-13T18:29:05,149.35,54.55,54.2,57.05,20.3,21.35,29.15,21.35,29.15,3.60E-02,8,2,0.25,0.9
13,GE01_20210824_M1BS_105001002694C800-toa,GE01_20210824_M1BS_105001002694C800_eval6_UTM_p50.shp,extent_mt_img1_utm.shp,,50,1050,6,10,105001002694C800,MT GEOEYE West,DF?,western spruce budwornm,"VISUAL Assessment, points ok, shadow too strict (from 80 to 50)",NA,MT4,6,DF,2021-08-24T18:39:53,156.5,52.075,46.65,78.5125,10.4375,-0.7,10.5875,-0.7,10.5875,0.00E+00,4,1,0.25,0.9
14,GE01_20210901_M1BS_1050010026B88600-toa,GE01_20210901_M1BS_1050010026B88600-toa.shp,GE01_20210901_M1BS_1050010026B88600-toa_ext.shp,,400,2000,6,10,1050010026B88600,Wales Creek Wilderness Area/DF beetle ,BB,Douglas fir beetle,,NA,MT5,6,BB,2021-09-01T18:32:56,156.9125,49.2125,161.8875,72.275,-14,6.6375,15.7625,6.6375,15.7625,0.00E+00,4,1,0.25,0.9
15,GE01_20210824_M1BS_105001002694C900-toa,GE01_20210824_M1BS_105001002694C900_eval1.shp,,,25,1100,6,10,105001002694C900,MT GEOEYE East,DF?,western spruce budwornm,"VISUAL Assessment, points ok, shadow too strict (from 80 to 25)",NA,MT6,6,DF,2021-08-24T18:40:42,157.05,52.2,204.75,70.9125,-16.55,-3.1375,16.9375,-3.1375,16.9375,8.00E-03,4,1,0.25,0.9
16,QB02_20030331_M1BS_1010010001C33000-toa,band_2003_eval.shp,extent_band_2003.shp,,25,3000,6,10,1010010001C33000,Bandelier 2003,BB,Pinyon Ips,,NA,NM1,5,BB,2003-03-31T17:48:48,144.9,53.65714286,237.0714286,79.61428571,-6.528571429,-6.814285714,9.4,-6.814285714,9.4,0.00E+00,4,1,0.25,0.9
17,WV03_20220815_M1BS_104001007C53C400-toa,WV03_20220815_M1BS_104001007C53C400-toa_eval1.shp,NV1_ext.shp,,550,2200,6,10,104001007C53C400,Nevada,BB,"Whitebark pine/limber MPB, fir engraver, pinyon ips",,NA,NV1,5,BB,2022-08-15T18:25:03,140.625,59.975,152.25,62.6,-19.5,15.275,24.625,15.275,24.625,0.00E+00,8,3,0.25,0.9
18,WV02_20190831_M1BS_10300100990A9100-toa,WV02_20190831_M1BS_10300100990A9100_top_eval4.shp,ext1_cOR_wv2_utm.shp,,90,1500,6,10,10300100990A9100,Central OR,??,,"VISUAL Assessment, points ok",NA,OR1,5,BB,2019-08-31T19:08:18,155.65,53.04,177.45,66.27,-20.24,5.11,20.86,5.11,20.86,0.00E+00,8,2,0.25,0.9
19,WV02_20140529_M1BS_1030010030A9DD00-toa,WV02_20140529_M1BS_1030010030A9DD00-toa_pix.shp,WV02_20140529_M1BS_1030010030A9DD00-toa_ext.shp,,400,1600,6,10,1030010030A9DD00,"South Dakota, Black hills, MPB PIPO",BB,Mountain Pine Beetle,,WV02_20140529_M1BS_1030010030A9DD00-toa.cloud.tif,SD1,6,BB,2014-05-29T18:25:11,164.03,66.75,241.42,64.53,-14.86,-17.05,22.47,-17.05,22.47,0.00E+00,8,2,0.25,0.9
20,WV03_20210825_M1BS_104001006DCEB700-toa,WV03_20210825_M1BS_104001006DCEB700-toa_pix.shp,WV03_20210825_M1BS_104001006DCEB700-toa_ext.shp,,400,1600,6,10,104001006DCEB700,"Northern UT, ",BB,spruce beetle,,WV03_20210825_M1BS_104001006DCEB700-toa.cloud.tif,UT1,6,BB,2021-08-25T18:05:59,145.8,55.07,138.65,60.76,-16.44,20.78,26.28,20.78,26.28,5.60E-02,8,3,0.25,0.9
21,WV03_20190717_M1BS_104001004E46CA00-toa,WV03_20190717_M1BS_104001004E46CA00-toa_pix.shp,WV03_20190717_M1BS_104001004E46CA00-toa_ext.shp,,450,1600,6,10,104001004E46CA00,"Fish lake, UT (to the left, ",DF,western spruce budwornm,,NA,UT2,6,DF,2019-07-17T18:35:35,139.5,68.825,151.05,78.35,-8.05,6.575,10.375,6.575,10.375,0.00E+00,8,3,0.25,0.9
22,WV03_20200809_M1BS_104001005E0EE100-toa,WV03_20200809_M1BS_104001005E0EE100_eval1.shp,site_cleelum.shp,,400,1500,6,10,104001005E0EE100,"Cle Elum, MPB",BB,"Douglas fir beetle, mountain pine beetle, fir engraver",Run did not complete,NA,WA1,6,BB,2020-08-09T19:31:30,162.7666667,57.63333333,230.7333333,41.56666667,-33.33333333,-28.66666667,42.83333333,-28.66666667,42.83333333,0.00E+00,8,3,0.25,0.9
23,WV02_20210718_M1BS_10300100C222B600-toa,WV02_20210718_M1BS_10300100C222B600_eval2_50p.shp,extent_loomis_site7_utm.shp,,90,1500,6,10,10300100C222B600,LOOMIS,??,,"VISUAL Assessment, points ok",WV02_20210718_M1BS_10300100C222B600-toa.cloud.tif,WA2,6,MX,2021-07-18T18:55:31,146.8571429,58.93571429,128.9785714,69.9,-8.464285714,14.85,17.68571429,14.85,17.68571429,2.30E-01,8,2,0.25,0.9
24,WV02_20200711_M1BS_10300100AC538A00-toa,WV02_20200711_M1BS_10300100AC538A00_eval1_utm.shp,extent_site6_49dN.shp,,150,1500,6,10,10300100AC538A00,49 Degrees North,BB?,"Douglas fir beetle, fir engraver",ADD MORE POINTS!!,WV02_20200711_M1BS_10300100AC538A00-toa.cloud.tif,WA3,6,MX,2020-07-11T19:04:43,154.29,61.75,314.16,71.01,8.45,-14.88,17.07,-14.88,17.07,0.00E+00,8,2,0.25,0.9
